w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
12;0.731;0;0;0.747;2.745;0;0;0;0;1.361;
13;1.72;0;0;0.237;0.557;0;0;0;0;0.716;
14;0;2.184;0;0;0;0;0;0;0;1.017;
15;2.672;5.771;0;0;0;0;0;0;0;0.182;
16;1.698;0;0;0;0;0;0;0;0;2.007;
17;0;1.25;0;0;0;0;0;0;0;1.361;
18;3.167;0;0;0;0;0;0;0;0;1.148;
19;1.477;0.591;0;0;0;0;0;0;0;0;
20;1.535;0;0;1.227;1.159;0;0;0;0;1.329;
21;1.567;0;0;6.737;2.555;0;0;0;0;1.242;
22;1.673;0;0;0;0;0;0;0;0;1.239;
23;0;1.316;0;0;1.255;0;0;0;0;2.246;
24;0;5.608;0;0;1.227;0;0;0;6.073;1.81;
25;0;1.993;0;0;1.329;0;0;0;0;0;
26;0.355;0;0;1.29;3.723;0;0;0;0;1.345;
27;1.404;0.156;0;1.267;1.306;0;0;0;0;1.273;
28;1.268;0;0;1.215;2.56;0;0;0;0;2.683;
29;1.225;0;0;1.418;0;0;0;0;0;0;
30;4.867;1.235;0;1.312;0;0;0;0;0;1.189;
31;0;4.161;0;1.265;0;0;0;0;0;1.178;
32;0;0;0;1.193;1.133;0;0;0;0;1.224;
33;0;2.343;0;1.211;6.711;0;0;0;0;1.132;
34;0.957;0;1.094;1.133;0;0;0;0;0;1.118;
35;1.003;0;0.969;0.953;1.474;0;0;0;0;1.065;
36;0.835;0;0.903;0.882;0.045;0;0;0;0;0.773;
37;0.85;0.737;0.767;0.923;0.171;0;0;0;0.836;0.954;
38;0.685;0.651;0.549;0.711;0;0;0;0;0.73;0.698;
39;0.7;0.649;0.724;0.675;0;0;0;0;0.74;0.687;
40;0.634;0.617;0;0.79;0;0;0;0;0;0.591;
41;0.552;0.51;0;0.527;0;0;0;0;0;0.512;
42;0.395;0.454;1.131;0.517;0;0;0;0;0;0.388;
43;0.289;0.64;0;1.494;0;0;0;0;0;0.389;
44;0.969;0;0;0;1.078;0;0;0;0;0.258;
45;0;0.327;0;0;0;0;0;0;0;0.248;
46;0;0.165;0;0;0;0;0;0;0;0.261;
47;0;0.18;0;0.173;0.22;0;0;0;0;0.106;
48;0.28;0;0;0.212;0.527;0;0;0;0;0.043;
49;0;0.125;0;0.111;0;0;0;0;0;0.398;
50;0;0.042;0;0.087;0;0;0;0;0;0;
51;0;0.05;0;0.09;0.112;0;0;0;0;0;
52;0.002;0.083;0;0;0.164;0;0;0;0;0.086;
1;0;0;0;0;1.023;0;0;0;0;0.979;
2;0;0;0;0;0.919;0;0;0;0;0.912;
3;0;0;0;0;2.013;0;0;0;0;0.987;
4;1.655;0;0;0;0;0;0;0;0;1.123;
5;0.924;0;0;0;1.215;0;0;0;0;1.044;
6;0;0;0;0;1.233;0;0;0;0;1.281;
7;0;0;0;0;1.208;0;0;0;0;1.106;
8;0;0;0;0;1.232;0;0;0;0;1.307;
9;0;0;0;0;1.351;0;0;0;0;1.367;
10;1.243;0;0;0;1.318;0;0;0;0;1.25;
11;1.261;0;0;0;2.624;0;0;0;0;2.714;
12;1.414;0;0;0;0.069;0;0;0;0;0;
13;1.29;0;0;0;1.405;0;0;0;0;1.356;
14;2.668;0;0;0;1.378;0;0;0;0;1.239;
15;0;0;0;0;1.336;0;0;0;0;1.294;
16;1.302;0;0;0;1.329;0;0;0;0;1.345;
17;1.278;0;0;0;2.593;0;0;0;0;1.285;
18;1.181;0;0;0;0;0;0;0;0;1.103;
19;1.179;0;0;0;1.238;0;0;0;0;1.186;
20;1.059;0;0;0;1.097;0;0;0;0;1.081;
21;1.169;0;0;0;1.033;0;0;0;0;0.991;
22;0.984;0;0;0;0.93;0;0;0;0;1.121;
23;0.813;0;0;0;0.775;0;0;0;0;0.78;
24;0.764;0;0;0;0.779;0;0;0;0;1.036;
25;0.869;0;0;0;0.78;0;0;0;0;2.55;
26;0;0;0;0;0.725;0;0;0;0;0;
27;0;0;0;0;1.574;0;0;0;0;0.376;
28;0.462;0;0;0;0;0;0;0;0;0;
29;0.569;0;0;0;0;0;0;0;0;0;
30;0.417;0;0;0;0.338;0;0;0;0;0.299;
31;0.364;0;0;0;0.284;0;0;0;0;5.192;
32;0.293;0;0;0;0.213;0;0;0;0;0;
33;0;0;0;0;0.504;0;0;0;0;0;
34;0;0;0;0;0;0;0;0;0;0;
35;0;0;0;0;0.15;0;0;0;0;0;
36;0;0;0;0;0.05;0;0;0;0;0;
37;0;0;0;0;0.104;0;0;0;0;0;
38;0;0;0;0;0;0;0;0;0;0;
39;0;0;0;0;0.199;0;0;0;0;0;
40;0;0;0;0;1.514;0;0;0;0;0;
