w   S1      S10     S2      S3    S4    S5      S6      S7    S8  S9   
16   0   0   0       0   0   0       0       1.166   0   0
17   0   0   0       0   0   1.147   3.451   0       0   0
18   0   0   0       0   0   2.35    0       0       0   0
19   0   0   2.447   0   0   0       0       0       0   0
20   0   0   0       0   0   1.229   3.542   0       0   0
21   0   0   1.143   0   0   1.395   0       2.69    0   0
22   0   0   1.348   0   0   1.292   0       0       0   0
23   0   0   1.176   0   0   1.289   1.312   0       0   0
24   0   0   3.978   0   0   1.312   2.73    1.334   0   0
25   0   0   0       0   0   1.343   0       1.285   0   0
26   0   0   0       0   0   1.405   1.367   1.147   0   0
27   0   0   1.413   0   0   2.129   1.381   2.509   0   0
28   0   0   1.213   0   0   1.775   1.864   0       0   0
29   0   0   1.208   0   0   0       2.179   4.523   0   0
30   0   0   1.199   0   0   1.242   0.987   0       0   0
31   0   0   1.156   0   0   2.474   0       0       0   0
32   0   0   1.138   0   0   0       1.181   0       0   0
33   0   0   1.041   0   0   1.18    1.157   0.992   0   0
34   0   0   0       0   0   1.069   1.017   0.901   0   0
35   0   0   0       0   0   1.146   1.063   0.921   0   0
36   0   0   0       0   0   0.942   0.719   0.986   0   0
37   0   0   0       0   0   0.74    0.761   0.848   0   0
38   0   0   0       0   0   0.639   0.705   0.75    0   0
39   0   0   0       0   0   0.595   0.688   0.683   0   0
40   0   0   0.6     0   0   0.567   0.69    0.547   0   0
41   0   0   0.511   0   0   0.636   0.977   0.395   0   0
42   0   0   0       0   0   0.476   0       0.443   0   0
43   0   0   0       0   0   0.325   0.416   0.396   0   0
44   0   0   0       0   0   0.439   0.387   0.246   0   0
45   0   0   0.077   0   0   0.166   0.236   0.194   0   0
46   0   0   0.379   0   0   0.157   0.25    0.112   0   0
47   0   0   0       0   0   0.149   0.085   0.23    0   0
48   0   0   0.124   0   0   0.117   0.078   0.143   0   0
49   0   0   0.108   0   0   0.076   0       0.106   0   0
50   0   0   0       0   0   0.212   0.014   0.011   0   0
51   0   0   0.054   0   0   0.145   0.108   0.13    0   0
52   0   0   0.105   0   0   0       0.001   0.01    0   0
1    5.357   2.668   0.902   2.556   0   0.902   0.935   0.957   0       0
2    1.393   0       1.018   0       0   0.941   0.828   0.749   0       0
3    0       0       0.934   0       0   1.051   0.929   0.947   0       0
4    0.593   2.289   1.061   1.047   0   0.963   1.041   1.062   0       0
5    0       0       1.667   1.14    0   2.454   1.184   1.127   0       0
6    0       2.343   1.72    1.174   0   0       3.536   1.274   0       0
7    0       0       0       1.06    0   2.65    0       1.205   0       0
8    0       1.321   3.743   1.191   0   0       0       1.265   0       0
9    0       2.892   0       1.268   0   1.288   1.351   5.434   0       0
10   0       2.86    0       1.216   0   3.949   1.208   0       0       0
11   0       1.448   2.317   1.264   0   0       4.717   0       0       0
12   0       2.208   0.476   1.414   0   0       0.596   0       0       0
13   0       0       1.182   1.301   0   1.159   0       1.345   0       0
14   0       0       1.42    1.288   0   4.11    0       1.317   0       0
15   0       0       4.333   1.147   0   0       1.152   1.309   0       0
16   0       2.25    0.807   2.498   0   0       5.002   1.255   0       0
17   0       1.283   0       0       0   1.282   0       1.293   0       0
18   0       2.85    0       6.322   0   1.268   0       1.224   0       0
19   0       0       1.113   0       0   1.204   0       1.175   0       0
20   0       0       1.174   0       0   1.056   1.08    1.611   0       0
21   0       1.032   1.016   0       0   0.949   0.936   0.716   0       0
22   0       1.787   1.052   0       0   1.015   0.95    0.886   0       0
23   0       0       0.885   0       0   0.911   0.994   0.921   0       0
24   0       0.79    0.768   0.861   0   0.788   0.814   0.832   0       0
25   0       0.711   0.835   0.683   0   0.657   0.731   0.741   1.818   0
26   0.717   0.687   0.731   0.667   0   0.758   0.685   0.838   0       0
27   0.532   0.613   0.564   0.637   0   0.431   0.613   0.599   0       0
28   0       0.532   0.481   0.541   0   0.361   0.587   0.488   0       0
29   0       0.584   0.523   0.55    0   2.806   0.491   0.489   0       0
30   0       0.338   0.432   0.407   0   0.153   0.456   0.435   0       0
