w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
1;0;0;0;0;0;0;0;0;2.911;0;
2;0;0;0;0;0;0;0;0;3.978;0;
3;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;3.958;0;
5;0;0;0;0;0;0;0;0;1.299;0;
6;0;0;0;0;0;0;0;0;0.178;0;
7;0;0;0;0;0;0;0;0;0;0;
8;0;0;0;0;0;0;0;0;0;0;
9;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0.314;0;
13;0;0;0;0;0;0;0;0;0.724;0;
14;0;0;0;0;0;0;0;0;0.544;0;
15;0;0;0;0;0;0;0;0;0.494;0;
16;0;0;0;0;0;0;0;0;0.401;0;
17;0;0;0;0;0;0;0;0;0.41;0;
18;0;0;0;0;0;0;0;0;0.322;0;
19;0;0;0;0;0;0;0;0;0.396;0;
20;0;0;0;0;0;0;0;0;0.159;0;
21;0;0;0;0;0;0;0;0;0.421;0;
22;0;0;0;0;0;0;0;0;0;0;
23;0;0;0;0;0;0;0;0;0;0;
24;0;0;0;0;0;0;0;0;0;0;
25;0;0;0;0;0;0;0;0;0.024;0;
26;0;0;0;0;0;0;0;0;0.063;0;
27;0;0;0;0;0;0;0;0;0.016;0;
28;0;0;0;0;0;0;0;0;0.086;0;
29;0;0;0;0;0;0;0;0;0.146;0;
30;0;0;0;0;0;0;0;0;0.217;0;
31;0;0;0;0;0;0;0;0;0.177;0;
32;0;0;0;0;0;0;0;0;2.675;0;
33;0;0;0;0;0;0;0;0;0;0;
34;0;0;0;0;0;0;0;0;0;0;
35;0;0;0;0;0;0;0;0;1.906;0;
36;0;0;0;0;0;0;0;0;0;0;
37;0;0;0;0;0;0;0;0;0;0;
38;0;0;0;0;0;0;0;0;0;0;
39;0;0;0;0;0;0;0;0;2.733;0;
40;0;0;0;0;0;0;0;0;0;0;
41;0;0;0;0;0;0;0;0;1.838;0;
42;0;0;0;0;0;0;0;0;0;0;
43;0;0;0;0;0;0;0;0;0;0;
44;0;0;0;0;0;0;0;0;0;0;
45;0;0;0;0;0;0;0;0;4.408;0;
46;0;0;0;0;0;0;0;0;0;0;
47;0;0;0;0;0;0;0;0;0;0;
48;0;0;0;0;0;0;0;0;0;0;
49;0;0;0;0;0;0;0;0;4.867;0;
50;0;0;0;0;0;0;0;0;0;0;
51;0;0;0;0;0;0;0;0;0;0;
