w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
52;0;0;0;0;0;0;0;0;0;0;
1;0;0;0;0;0;0;0;0;0.557;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;0.384;0;
6;0;0;0;0;0;0;0;0;0.258;0;
7;0;0;0;0;0;0;0;0;0.182;0;
8;0;0;0;0;0;0;0;0;0.499;0;
9;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0.124;0;
13;0;0;0;0;0;0;0;0;0.109;0;
14;0;0;0;0;0;0;0;0;0.264;0;
15;0;0;0;0;0;0;0;0;0.085;0;
16;0;0;0;0;0;0;0;0;0.199;0;
17;0;0;0;0;0;0;0;0;0.267;0;
18;0;0;0;0;0;0;0;0;0.315;0;
19;0;0;0;0;0;0;0;0;0.321;0;
20;0;0;0;0;0;0;0;0;0.309;0;
21;0;0;0;0;0;0;0;0;0.442;0;
22;0;0;0;0;0;0;0;0;0.93;0;
23;0;0;0;0;0;0;0;0;0;0;
24;0;0;0;0;0;0;0;0;0;0;
25;0;0;0;0;0;0;0;0;0;0;
26;0;0;0;0;0;0;0;0;0.8;0;
27;0;0;0;0;0;0;0;0;0;0;
28;0;0;0;0;0;0;0;0;0;0;
29;0;0;0;0;0;0;0;0;0;0;
30;0;0;0;0;0;0;0;0;0;0;
31;0;0;0;0;0;0;0;0;0;0;
32;0;0;0;0;0;0;0;0;0;0;
33;0;0;0;0;0;0;0;0;0;0;
34;0;0;0;0;0;0;0;0;0;0;
35;0;0;0;0;0;0;0;0;0;0;
36;0;0;0;0;0;0;0;0;1.213;0;
37;0;0;0;0;0;0;0;0;0;0;
38;0;0;0;0;0;0;0;0;0;0;
39;0;0;0;0;0;0;0;0;1.327;0;
40;0;0;0;0;0;0;0;0;0;0;
41;0;0;0;0;0;0;0;0;1.308;0;
42;0;0;0;0;0;0;0;0;0;0;
43;0;0;0;0;0;0;0;0;0;0;
44;0;0;0;0;0;0;0;0;1.18;0;
45;0;0;0;0;0;0;0;0;0;0;
46;0;0;0;0;0;0;0;0;1.065;0;
47;0;0;0;0;0;0;0;0;0;0;
48;0;0;0;0;0;0;0;0;0;0;
49;0;0;0;0;0;0;0;0;0;0;
50;0;0;0;0;0;0;0;0;0;0;
51;0;0;0;0;0;0;0;0;0;0;
52;0;0;0;0;0;0;0;0;0;0;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;
7;0;0;0;0;0;0;0;0;0;0;
8;0;0;0;0;0;0;0;0;0;0;
9;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;4.678;0;
12;0;0;0;0;0;0;0;0;1.092;0;
13;0;0;0;0;0;0;0;0;0.618;0;
14;0;0;0;0;0;0;0;0;0.853;0;
15;0;0;0;0;0;0;0;0;0.913;0;
16;0;0;0;0;0;0;0;0;1.093;0;
17;0;0;0;0;0;0;0;0;0.96;0;
18;0;0;0;0;0;0;0;0;1.081;0;
19;0;0;0;0;0;0;0;0;0;0;
20;0;0;0;0;0;0;0;0;0;0;
21;0;0;0;0;0;0;0;0;0;0;
22;0;0;0;0;0;0;0;0;0;0;
23;0;0;0;0;0;0;0;0;0;0;
24;0;0;0;0;0;0;0;0;0;0;
25;0;0;0;0;0;0;0;0;0;0;
26;0;0;0;0;0;0;0;0;1.172;0;
27;0;0;0;0;0;0;0;0;0;0;
28;0;0;0;0;0;0;0;0;0.431;0;
29;0;0;0;0;0;0;0;0;0;0;
30;0;0;0;0;0;0;0;0;0;0;
31;0;0;0;0;0;0;0;0;1.196;0;
32;0;0;0;0;0;0;0;0;2.29;0;
33;0;0;0;0;0;0;0;0;0;0;
34;0;0;0;0;0;0;0;0;1.156;0;
35;0;0;0;0;0;0;0;0;0.984;0;
36;0;0;0;0;0;0;0;0;0.868;0;
37;0;0;0;0;0;0;0;0;0;0;
38;0;0;0;0;0;0;0;0;0;0;
39;0;0;0;0;0;0;0;0;0;0;
40;0;0;0;0;0;0;0;0;0.586;0;
41;0;0;0;0;0;0;0;0;0.468;0;
42;0;0;0;0;0;0;0;0;0.436;0;
43;0;0;0;0;0;0;0;0;0.275;0;
44;0;0;0;0;0;0;0;0;0.367;0;
45;0;0;0;0;0;0;0;0;0.118;0;
46;0;0;0;0;0;0;0;0;0.118;0;
47;0;0;0;0;0;0;0;0;0.197;0;
48;0;0;0;0;0;0;0;0;0.069;0;
49;0;0;0;0;0;0;0;0;0.058;0;
50;0;0;0;0;0;0;0;0;0.12;0;
51;0;0;0;0;0;0;0;0;0;0;
52;0;0;0;0;0;0;0;0;0;0;
1;0;0;0;0;0;0;0;0;1.888;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;2.282;0;
4;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;1.057;0;
6;0;0;0;0;0;0;0;0;1.158;0;
7;0;0;0;0;0;0;0;0;1.348;0;
8;0;0;0;0;0;0;0;0;1.154;0;
9;0;0;0;0;0;0;0;0;1.324;0;
10;0;0;0;0;0;0;0;0;2.789;0;
11;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;1.4;0;
13;0;0;0;0;0;0;0;0;1.389;0;
14;0;0;0;0;0;0;0;0;1.269;0;
15;0;0;0;0;0;0;0;0;1.368;0;
16;0;0;0;0;0;0;0;0;1.217;0;
17;0;0;0;0;0;0;0;0;1.263;0;
18;0;0;0;0;0;0;0;0;1.282;0;
19;0;0;0;0;0;0;0;0;1.159;0;
20;0;0;0;0;0;0;0;0;1.06;0;
21;0;0;0;0;0;0;0;0;1.081;0;
22;0;0;0;0;0;0;0;0;4.512;0;
23;0;0;0;0;0;0;0;0;0;0;
24;0;0;0;0;0;0;0;0;0;0;
25;0;0;0;0;0;0;0;0;0;0;
26;0;0;0;0;0;0;0;0;0;0;
27;0;0;0;0;0;0;0;0;0;0;
28;0;0;0;0;0;0;0;0;0;0;
29;0;0;0;0;0;0;0;0;0;0;
30;0;0;0;0;0;0;0;0;0;0;
31;0;0;0;0;0;0;0;0;0;0;
32;0;0;0;0;0;0;0;0;0;0;
33;0;0;0;0;0;0;0;0;0;0;
34;0;0;0;0;0;0;0;0;0;0;
35;0;0;0;0;0;0;0;0;0;0;
36;0;0;0;0;0;0;0;0;0;0;
37;0;0;0;0;0;0;0;0;0;0;
38;0;0;0;0;0;0;0;0;0;0;
39;0;0;0;0;0;0;0;0;0;0;
40;0;0;0;0;0;0;0;0;0;0;
41;0;0;0;0;0;0;0;0;0;0;
42;0;0;0;0;0;0;0;0;0;0;
43;0;0;0;0;0;0;0;0;0;0;
44;0;0;0;0;0;0;0;0;0;0;
45;0;0;0;0;0;0;0;0;0;0;
46;0;0;0;0;0;0;0;0;0;0;
47;0;0;0;0;0;0;0;0;0;0;
48;0;0;0;0;0;0;0;0;0;0;
49;0;0;0;0;0;0;0;0;0;0;
50;0;0;0;0;0;0;0;0;0;0;
51;0;0;0;0;0;0;0;0;0;0;
52;0;0;0;0;0;0;0;0;0;0;
